Event ID,Event Version,Level,Channel,Task,Opcode,Keyword,Windows,Version,Edition,Date,Build,Event Message,Event Fields
1073741825,0,,,,,,Windows 11,21H2,Pro,2022/07/19,22000.795,Automatic certificate enrollment for {Context} failed to download certificates for {StoreName} store from {LdapStore} ({ErrorCode}). {ErrorMsg},{Context} | {StoreName} | {LdapStore} | {ErrorCode} | {ErrorMsg}
3221225474,0,,,,,,Windows 10,21H1,Pro,2022/01/11,19043.1466,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,21H2,Pro,2021/12/14,19043.1415,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,21H1,Pro,2021/12/14,19043.1415,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,21H1,Pro,2021/11/09,19043.1348,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,21H1,Pro,2021/10/12,19043.1288,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,21H1,Pro,2021/09/14,19043.1237,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,21H1,Pro,2021/08/10,19043.1165,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,21H1,Pro,2021/07/13,19043.111,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,21H1,Pro,2021/06/08,19043.1052,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,20H2,Pro,2022/04/19,19042.1645,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,20H2,Pro,2022/01/11,19042.1466,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,2004,Pro,2021/05/11,19041.985,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,20H2,Pro,2021/05/11,19041.985,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,2004,Pro,2021/04/13,19041.928,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,20H2,Pro,2021/04/13,19041.928,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,2004,Pro,2021/03/09,19041.867,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,20H2,Pro,2021/03/09,19041.867,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,2004,Pro,2021/02/09,19041.804,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,20H2,Pro,2021/02/09,19041.804,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,2004,Pro,2021/01/12,19041.746,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,20H2,Pro,2021/01/12,19041.746,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,2004,Pro,2020/12/08,19041.685,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,20H2,Pro,2020/12/08,19041.685,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,20H2,Pro,2020/11/19,19041.631,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,2004,Pro,2020/11/10,19041.63,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,2004,Pro,2020/10/13,19041.572,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,2004,Pro,2020/09/08,19041.508,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,2004,Pro,2020/08/11,19041.45,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,2004,Pro,2020/07/14,19041.388,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,2004,Pro,2020/06/09,19041.329,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,2004,Pro,2020/05/27,19041.264,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,2004,Pro,2020/04/16,19041.208,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,21H2,Pro,2022/03/15,19041.1586,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,21H1,Pro,2022/03/15,19041.1586,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,20H2,Pro,2022/03/15,19041.1586,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,21H2,Pro,2022/02/15,19041.1526,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,21H1,Pro,2022/02/15,19041.1526,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,20H2,Pro,2022/02/15,19041.1526,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,20H2,Pro,2021/12/14,19041.1415,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,2004,Pro,2021/11/09,19041.1348,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,20H2,Pro,2021/11/09,19041.1348,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,2004,Pro,2021/10/12,19041.1288,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,20H2,Pro,2021/10/12,19041.1288,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,2004,Pro,2021/09/14,19041.1237,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,20H2,Pro,2021/09/14,19041.1237,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,2004,Pro,2021/08/10,19041.1165,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,20H2,Pro,2021/08/10,19041.1165,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,2004,Pro,2021/07/13,19041.111,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,20H2,Pro,2021/07/13,19041.111,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,2004,Pro,2021/06/08,19041.1052,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,20H2,Pro,2021/06/08,19041.1052,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1909,Pro,2020/07/14,18363.959,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1909,Pro,2020/06/09,18363.9,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1909,Pro,2020/05/12,18363.836,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1909,Pro,2020/04/14,18363.778,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1909,Pro,2020/03/12,18363.72,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1909,Pro,2020/02/11,18363.657,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1909,Pro,2020/01/14,18363.592,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1909,Pro,2019/12/10,18363.535,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1909,Pro,2019/10/05,18363.418,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1909,Pro,2021/06/08,18363.1621,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1909,Pro,2021/05/11,18363.1556,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1909,Pro,2021/04/13,18363.15,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1909,Pro,2021/03/09,18363.144,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1909,Pro,2021/02/11,18363.1379,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1909,Pro,2021/01/12,18363.1316,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1909,Pro,2020/12/08,18363.1256,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1909,Pro,2020/11/10,18363.1198,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1909,Pro,2020/10/13,18363.1139,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1909,Pro,2020/09/08,18363.1082,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1909,Pro,2020/08/11,18363.1016,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1903,Pro,2020/07/14,18362.959,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1903,Pro,2020/05/12,18362.836,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1903,Pro,2020/03/12,18362.72,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1903,Pro,2020/02/11,18362.657,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1903,Pro,2019/12/10,18362.535,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1903,Pro,2019/11/12,18362.476,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1903,Pro,2019/09/10,18362.356,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1903,Pro,2019/03/29,18362.3,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1903,Pro,2019/07/09,18362.239,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1903,Pro,2019/06/11,18362.175,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1903,Pro,2020/12/08,18362.1256,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1903,Pro,2020/11/10,18362.1198,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1903,Pro,2020/10/13,18362.1139,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1903,Pro,2020/09/08,18362.1082,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1903,Pro,2019/12/10,18362.1016,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows Server 2019,1809,Standard,2020/01/14,17763.973,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1809,Pro,2020/01/14,17763.973,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows Server 2019,1809,Standard,2019/12/10,17763.914,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1809,Pro,2019/12/10,17763.914,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows Server 2019,1809,Standard,2019/11/12,17763.864,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1809,Pro,2019/11/12,17763.864,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1809,Pro,2019/10/08,17763.805,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows Server 2019,1809,Standard,2019/09/10,17763.737,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1809,Pro,2019/09/10,17763.737,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows Server 2019,1809,Standard,2019/08/13,17763.678,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1809,Pro,2019/08/13,17763.678,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1809,Pro,2019/07/09,17763.615,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1809,Pro,2019/06/11,17763.557,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1809,Pro,2019/05/19,17763.504,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1809,Pro,2019/04/09,17763.437,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows Server 2019,1809,Standard,2019/03/12,17763.379,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1809,Pro,2019/03/12,17763.379,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1809,Pro,2019/02/12,17763.316,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1803,Pro,2019/01/08,17763.253,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows Server 2019,1809,Standard,2021/08/10,17763.2114,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows Server 2019,1809,Standard,2021/07/13,17763.2061,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows Server 2019,1809,Standard,2021/06/08,17763.1999,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1809,Pro,2018/12/11,17763.194,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows Server 2019,1809,Standard,2021/05/11,17763.1935,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows Server 2019,1809,Standard,2021/04/13,17763.1879,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows Server 2019,1809,Standard,2021/03/09,17763.1817,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows Server 2019,1809,Standard,2021/02/09,17763.1757,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows Server 2019,1809,Standard,2021/01/12,17763.1697,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows Server 2019,1809,Standard,2020/12/08,17763.1637,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows Server 2019,1809,Standard,2020/11/10,17763.1577,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1809,Pro,2020/11/10,17763.1577,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows Server 2019,1809,Standard,2020/10/13,17763.1518,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1809,Pro,2020/10/13,17763.1518,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows Server 2019,1809,Standard,2020/09/10,17763.1457,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1809,Pro,2020/09/08,17763.1457,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows Server 2019,1809,Standard,2020/08/11,17763.1397,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1809,Pro,2020/08/11,17763.1397,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows Server 2019,1809,Standard,2020/07/14,17763.1339,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1809,Pro,2020/07/14,17763.1339,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows Server 2019,1809,Standard,2020/06/09,17763.1282,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1809,Pro,2020/06/09,17763.1282,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows Server 2019,1809,Standard,2020/05/12,17763.1217,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows 10,1809,Pro,2020/05/12,17763.1217,Automatic certificate enrollment for {Context} started.,{Context}
3221225474,0,,,,,,Windows Server 2019,1809,Standard,2020/04/14,17763.1158,Automatic certificate enrollment for {Context} started.,{Context}
